dirNombree
David Leitch,16-11-1975,46,director,"https://m.media-amazon.com/images/M/MV5BMTA1MDY5ODcxMjBeQTJeQWpwZ15BbWU3MDk0ODUyNDI@._V1_UY317_CR153,0,214,317_AL_.jpg","David Leitch is a billion dollar film director, actor, stuntman, writer, producer, and stunt coordinator. He co-directed John Wick (2014) with Chad Stahelski, which he also served as producer. David directed Atomic Blonde (2017) starring Charlize Theron. David also directed the box office smash and critically acclaimed Deadpool 2 (2018)."
Adam McKay,17-04-1968,53,director,"https://m.media-amazon.com/images/M/MV5BZmQ2ZDNkMGYtOWUzNi00N2Q3LTk1MDItODFlNDJkMTZkMjFmXkEyXkFqcGdeQXVyMjMxNzg4Mjk@._V1_UY317_CR11,0,214,317_AL_.jpg","Adam McKay (born April 17, 1968) is an American screenwriter, director, comedian, and actor. McKay has a comedy partnership with Will Ferrell, with whom he co-wrote the films Anchorman, Talladega Nights, and The Other Guys. Ferrell and McKay also founded their comedy website Funny or Die through their production company Gary Sanchez Productions."
David O. Russell,20-08-1958,63,director,"https://m.media-amazon.com/images/M/MV5BMjMyMzg4NjA0Nl5BMl5BanBnXkFtZTgwNTI5NjQ5NjE@._V1_UY317_CR8,0,214,317_AL_.jpg","David Owen Russell is an American film writer, director, and producer, known for a cinema of intense, tragi-comedic characters whose love of life can surpass dark circumstances faced in very specific worlds. His films address such themes as mental illness as stigma or hope; invention of self and survival and the family home as nexus of love."
Sam Raimi,23-10-1959,62,director,"https://m.media-amazon.com/images/M/MV5BODQ0NjI0NzkzMV5BMl5BanBnXkFtZTYwMDc0ODk1._V1_UY317_CR8,0,214,317_AL_.jpg","Highly inventive U.S. film director/producer/writer/actor Sam Raimi first came to the attention of film fans with the savage, yet darkly humorous, low-budget horror film, The Evil Dead (1981). From his childhood, Raimi was a fan of the cinema and, before he was ten-years-old, he was out making movies with an 8mm camera."
Jon Watts,28-06-1981,40,director,"https://m.media-amazon.com/images/M/MV5BNzg2NjA5ODAyMV5BMl5BanBnXkFtZTgwODAzMjkxNDE@._V1_UX214_CR0,0,214,317_AL_.jpg","Jon Watts was born on June 28, 1981 in Fountain, Colorado, USA. He is a director and producer, known for Cop Car (2015), Spider-Man: Homecoming (2017) and The Onion News Network (2011)."
Steven Soderbergh,14-01-1963,58,director,"https://m.media-amazon.com/images/M/MV5BMTQwMjE3ODU1NV5BMl5BanBnXkFtZTYwMzc3MDIz._V1_UX214_CR0,0,214,317_AL_.jpg","Steven Andrew Soderbergh was born on January 14, 1963 in Atlanta, Georgia, USA, the second of six children of Mary Ann (Bernard) and Peter Soderbergh. His father was of Swedish and Irish descent, and his mother was of Italian ancestry."
Phyllida Lloyd,17-06-1957,64,director,"https://m.media-amazon.com/images/M/MV5BMTUyNzkyOTY2Ml5BMl5BanBnXkFtZTcwNDg0MjAyNw@@._V1_UY317_CR131,0,214,317_AL_.jpg","Phyllida Lloyd was born on June 17, 1957 in Bristol, England as Phyllida Christian Lloyd. She is known for her work on Mamma Mia! (2008), The Iron Lady (2011) and Herself (2020)."
Ol Parker,2-06-1969,52,director,"https://m.media-amazon.com/images/M/MV5BMTYxMTg0MjE2Nl5BMl5BanBnXkFtZTYwOTU2Njc2._V1_UY317_CR24,0,214,317_AL_.jpg","Ol Parker was born in 1969 in London, England as Oliver Parker. He is a writer and director, known for Now Is Good (2012), Mamma Mia! Here We Go Again (2018) and The Best Exotic Marigold Hotel (2011). He has been married to Thandie Newton since July 11, 1998."
Alfonso Cuarón,28-11-1961,60,director,"https://m.media-amazon.com/images/M/MV5BMjA0ODY4OTk4Nl5BMl5BanBnXkFtZTcwNTkxMzYyMg@@._V1_UX214_CR0,0,214,317_AL_.jpg","Alfonso Cuarón Orozco was born on November 28th in Mexico City, Mexico. From an early age, he yearned to be either a film director or an astronaut. However, he did not want to enter the army, so he settled for directing. He didn't receive his first camera until his twelfth birthday, and then immediately started to film everything he saw."
Chris Columbus,10-09-1958,63,director,"https://m.media-amazon.com/images/M/MV5BMTY2MTYzNzUyNl5BMl5BanBnXkFtZTYwMDI0NzA0._V1_UY317_CR2,0,214,317_AL_.jpg","Born in Pennsylvania and raised in Ohio, Chris Columbus was first inspired to make movies after seeing "The Godfather" at age 15. After enrolling at NYU film school, he sold his first screenplay (never produced) while a sophomore there."
Mike Newell,28-03-1942,79,director,"https://m.media-amazon.com/images/M/MV5BMTgzNDI1ODc4N15BMl5BanBnXkFtZTYwNjg3NTc1._V1_UX214_CR0,0,214,317_AL_.jpg","Attended Cambridge University. Three year training course at Granada Television, with intention of going into theatre. Graduated to directing TV plays, building strong reputation for work with David Hare, David Edgar, Hohn, John Osborne, Jack Rosenthal."
Matthew Vaughn,07-03-1971,50,director,"https://m.media-amazon.com/images/M/MV5BMTQyOTc5NzA0M15BMl5BanBnXkFtZTYwODQ2MjYz._V1_UX214_CR0,0,214,317_AL_.jpg","Matthew Vaughn is an English film producer and director. He is known for producing such films as Lock, Stock and Two Smoking Barrels (1998) and Snatch (2000) and for directing the crime thriller, Layer Cake (2004), the fantasy epic, Stardust (2007), the superhero comedy, Kick-Ass (2010), and the superhero film, X-Men: First Class (2011)."
David Yates,08-10-1963,58,director,"https://m.media-amazon.com/images/M/MV5BMTY2NTU4NjY4M15BMl5BanBnXkFtZTYwNjIxOTI1._V1_UY317_CR10,0,214,317_AL_.jpg","David Yates was born on October 8, 1963 in St. Helens, Merseyside, England. He is a director and producer, known for Harry Potter and the Deathly Hallows: Part 2 (2011), Harry Potter and the Order of the Phoenix (2007) and The Legend of Tarzan (2016)."
Bryan Singer,17-09-1965,56,director,"https://m.media-amazon.com/images/M/MV5BMTMwMzQ0OTgzNF5BMl5BanBnXkFtZTcwMjExNzAyMg@@._V1_UX214_CR0,0,214,317_AL_.jpg","Bryan Singer was born on September 17, 1965 in New York City, New York, USA as Bryan Jay Singer. He is a producer and director, known for X-Men (2000), The Usual Suspects (1995) and X-Men: Days of Future Past (2014)."
David Ayer,18-01-1968,53,director,"https://m.media-amazon.com/images/M/MV5BZjBmMTY4M2ItMmEwNC00NTUyLWIyZDEtYWNhNjViNjRiOGVlXkEyXkFqcGdeQXVyMTY2MzU0MjA@._V1_UY317_CR10,0,214,317_AL_.jpg","David Ayer is an American film director, producer, and screenwriter. David Ayer was born in Champaign, Illinois and grew up in Bloomington, Minnesota, and Bethesda, Maryland, where he was kicked out of his house by his parents as a teenager. Ayer then lived with his cousin in Los Angeles, California, where his experiences in South Central."
Gary Ross,03-11-1956,65,director,"https://m.media-amazon.com/images/M/MV5BMTI3NjcxMTA2Nl5BMl5BanBnXkFtZTcwMjkwNDYyMQ@@._V1_UY317_CR6,0,214,317_AL_.jpg","Gary Ross is an American writer, director and actor born November 3rd, 1956 in Los Angeles, California. His father was screenwriter Arthur A. Ross (1920 - 2008). After writing for television series The Hitchhiker (1983) in 1986, Ross broke through by penning the Tom Hanks hit Big (1988), his first screenplay to be made into a feature film."
George Lucas,14-05-1944,77,director,"https://m.media-amazon.com/images/M/MV5BMTA0Mjc0NzExNzBeQTJeQWpwZ15BbWU3MDEzMzQ3MDI@._V1_UY317_CR0,0,214,317_AL_.jpg","George Walton Lucas, Jr. was raised on a walnut ranch in Modesto, California. His father was a stationery store owner and he had three siblings. During his late teen years, he went to Thomas Downey High School and was very much interested in drag racing. He planned to become a professional racecar driver. "
Zack Snyder,01-03-1966,55,director,"https://m.media-amazon.com/images/M/MV5BMTMzMjUyNjk1MV5BMl5BanBnXkFtZTcwMDc2Mzk3NA@@._V1_UY317_CR11,0,214,317_AL_.jpg","Zachary Edward "Zack" Snyder (born March 1, 1966) is an American film director, film producer, and screenwriter, best known for action and science fiction films. Snyder made his feature film debut with the 2004 remake Dawn of the Dead and has gone on to be known for his comic book movies and superhero films, including 300 (2007) and Watchmen (2009)"
Irvin Kershner,29-04-1923,-1,director,"https://m.media-amazon.com/images/M/MV5BMTQyNjk0NTcwMl5BMl5BanBnXkFtZTcwNzAyNDQxNA@@._V1_UY317_CR13,0,214,317_AL_.jpg","Irvin Kershner was born on April 29, 1923 in Philadelphia, Pennsylvania. A graduate of the University of Southern California film school, Kershner began his career in 1950, producing documentaries for the United States Information Service in the Middle East. He later turned to television, directing and photographing a series of documentaries."
Mary Harron,12-01-1953,68,director,"https://m.media-amazon.com/images/M/MV5BZDJhN2U5MzYtNDlkYS00YzE4LWJhZWItY2Q4NzYzMzM2YjFiXkEyXkFqcGdeQXVyMjA4NjQ3ODI@._V1_UX214_CR0,0,214,317_AL_.jpg","Mary Harron (born January 12, 1953) is a Canadian filmmaker and screenwriter. She gained recognition for her role in writing and directing several independent films, including I Shot Andy Warhol (1996), American Psycho (2000), and The Notorious Bettie Page (2005). She co-wrote American Psycho and The Notorious Bettie Page with Guinevere Turner."
Patty Jenkins,24-07-1971,50,director,"https://m.media-amazon.com/images/M/MV5BMTg4NDA4NTQ5MF5BMl5BanBnXkFtZTgwOTA0Nzc0MzE@._V1_UY317_CR35,0,214,317_AL_.jpg","Patty Jenkins is a writer/director best known for directing Wonder Woman, the Warner Bros./DC Comics blockbuster of 2017, and her debut feature Monster. Patty also works in television where she is best known for the pilot and finale episode of AMC's hit show The Killing."
Jon Favreau,19-10-1966,55,director,"https://m.media-amazon.com/images/M/MV5BNjcwNzg4MjktNDNlMC00M2U1LWJmMjgtZTVkMmI4MDI2MTVmXkEyXkFqcGdeQXVyMjI4MDI0NTM@._V1_UY317_CR12,0,214,317_AL_.jpg","Initially an indie film favorite, actor Jon Favreau has progressed to strong mainstream visibility into the millennium and, after nearly two decades in the business, is still enjoying character stardom as well as earning notice as a writer/producer/director."
Denis Villeneuve,03-10-1967,54,director,"https://m.media-amazon.com/images/M/MV5BMzU2MDk5MDI2MF5BMl5BanBnXkFtZTcwNDkwMjMzNA@@._V1_UY317_CR0,0,214,317_AL_.jpg","Denis Villeneuve is a French Canadian film director and writer. He was born in 1967, in Trois-Rivières, Québec, Canada. He started his career as a filmmaker at the National Film Board of Canada. He is best known for his feature films Arrival (2016), Sicario (2015), Prisoners (2013), Enemy (2013), and Incendies (2010)."
Scott Derrickson,16-07-1966,55,director,"https://m.media-amazon.com/images/M/MV5BMTY0MDA1MTUxM15BMl5BanBnXkFtZTgwNDI0Nzk2NDE@._V1_UX214_CR0,0,214,317_AL_.jpg","Scott Derrickson was born on July 16, 1966 in Denver, Colorado, USA. He is a producer and writer, known for Doctor Strange (2016), Sinister (2012) and Deliver Us from Evil (2014)."
Shane Black,16-12-1961,60,director,"https://m.media-amazon.com/images/M/MV5BMTM2ODI3NzkyNl5BMl5BanBnXkFtZTYwMDQ3OTYz._V1_UY317_CR2,0,214,317_AL_.jpg","Considered one of the pioneer screenwriters of the action genre, Black made his mark with his Lethal Weapon (1987) screenplay. He also collaborated on the story of the sequel, Lethal Weapon 2 (1989). Each successive script he turned in had a higher price attached it, from The Last Boy Scout (1991) to The Long Kiss Goodnight (1996)."
Joss Whedon,23-06-1964,57,director,"https://m.media-amazon.com/images/M/MV5BMTg5MzQ0MDA4MF5BMl5BanBnXkFtZTcwNzUwOTk4OQ@@._V1_UY317_CR12,0,214,317_AL_.jpg","Joss Whedon is the middle of five brothers - his younger brothers are Jed Whedon and Zack Whedon. Both his father, Tom Whedon and his grandfather, John Whedon were successful television writers. Joss' mother, Lee Stearns, was a history teacher and she also wrote novels as Lee Whedon. "
Joe Russo,08-07-1971,50,director,"https://m.media-amazon.com/images/M/MV5BMTc2NzY1NTY5OF5BMl5BanBnXkFtZTgwNjY3ODczNjM@._V1_UY317_CR2,0,214,317_AL_.jpg","Joe Russo was born on July 8, 1971 in Cleveland, Ohio, USA as Joseph Vincent Russo. He is a producer and director, known for Avengers: Endgame (2019), Avengers: Infinity War (2018) and Captain America: The Winter Soldier (2014)."
Rian Johnson,17-12-1973,48,director,"https://m.media-amazon.com/images/M/MV5BMjA3MTQwNjYyM15BMl5BanBnXkFtZTcwNTI5ODUwNQ@@._V1_UY317_CR3,0,214,317_AL_.jpg","Rian Johnson was born in Maryland and at a young age his family moved to San Clemente, California, where he was raised. After graduating from high school, he went on to attend the University of Southern California School of Cinematic Arts. His first feature film, Brick (2005), was released in 2005."
Joe Johnston,13-05-1950,71,director,"https://m.media-amazon.com/images/M/MV5BNzcxNDQwNzgxNV5BMl5BanBnXkFtZTYwNTQ1MTA0._V1_UX214_CR0,0,214,317_AL_.jpg","Joe Johnston was born on May 13, 1950 in Austin, Texas, USA as Joseph Eggleston Johnston II. He is a director, known for Captain America: The First Avenger (2011), Indiana Jones and the Raiders of the Lost Ark (1981) and The Rocketeer (1991)."
Damien Chazelle,19-01-1985,36,director,"https://m.media-amazon.com/images/M/MV5BMjE2MzcyODA3MV5BMl5BanBnXkFtZTgwNTA3NTU2MjE@._V1_UY317_CR5,0,214,317_AL_.jpg","Damien Sayre Chazelle is an American director and screenwriter. He was born in Providence, Rhode Island. His mother, Celia Sayre (Martin) Chazelle, is an American-Canadian writer and professor of history at The College of New Jersey. His father, Bernard Chazelle, is a French-American Eugene Higgins Professor of computer science at Princeton."
Phil Lord,12-07-1975,46,director,"https://m.media-amazon.com/images/M/MV5BOTI5NTUwMTAwOV5BMl5BanBnXkFtZTcwMDIxMDgzOQ@@._V1_UY317_CR21,0,214,317_AL_.jpg","Phil Lord was born on July 12, 1975 in Miami, Florida, USA as Philip A. Lord. He is a producer and writer, known for Spider-Man: Into the Spider-Verse (2018), The Lego Movie (2014) and Clone High (2002). "
Christopher Miller,23-09-1975,46,director,"https://m.media-amazon.com/images/M/MV5BMTAzNDAzODgzOTheQTJeQWpwZ15BbWU3MDc5MDg4MTg@._V1_UX214_CR0,0,214,317_AL_.jpg","Christopher Miller was born on September 23, 1975 in Everett, Washington, USA as Christopher Robert Miller. He is a producer and writer, known for The Lego Movie (2014), Clone High (2002) and Spider-Man: Into the Spider-Verse (2018). He is married to Robyn Murgio. They have one child"
James Wan,26-02-1977,44,director,"https://m.media-amazon.com/images/M/MV5BMTY5NzExMTQ5N15BMl5BanBnXkFtZTcwNjY1NDQzOQ@@._V1_UY317_CR58,0,214,317_AL_.jpg","James Wan (born 26 February 1977) is an Australian film producer, screenwriter and film director of Malaysian Chinese descent. He is widely known for directing the horror film Saw (2004) and creating Billy the puppet. Wan has also directed Dead Silence (2007), Death Sentence (2007), Insidious (2010), The Conjuring (2013) and Furious 7 (2015)."
David Fincher,28-08-1962,59,director,"https://m.media-amazon.com/images/M/MV5BMTc1NDkwMTQ2MF5BMl5BanBnXkFtZTcwMzY0ODkyMg@@._V1_UX214_CR0,0,214,317_AL_.jpg","David Fincher was born in 1962 in Denver, Colorado, and was raised in Marin County, California. When he was 18 years old he went to work for John Korty at Korty Films in Mill Valley. He subsequently worked at ILM (Industrial Light and Magic) from 1981-1983. Fincher left ILM to direct TV commercials and music videos after signing with N. Lee Lacy."
Glen Ficarra,27-05-1971,50,director,"https://m.media-amazon.com/images/M/MV5BMTQ0NDYzNTIyM15BMl5BanBnXkFtZTgwNzgyOTA2NDE@._V1_UX214_CR0,0,214,317_AL_.jpg","Glenn Ficarra is a producer and writer, known for I Love You Phillip Morris (2009), This Is Us (2016) and Cats & Dogs (2001)."
John Requa,01-01-1967,54,director,"https://m.media-amazon.com/images/M/MV5BMTk1OTI3NDMxNl5BMl5BanBnXkFtZTcwNDUwODIxNA@@._V1_UY317_CR14,0,214,317_AL_.jpg","John Requa is a producer and writer, known for I Love You Phillip Morris (2009), This Is Us (2016) and Focus (2015). "
Rob Letterman,31-10-1970,51,director,"https://m.media-amazon.com/images/M/MV5BMTkxMDA0MDMyMF5BMl5BanBnXkFtZTcwMjkwNzMzOA@@._V1_UY317_CR13,0,214,317_AL_.jpg","Rob Letterman is a writer and director, known for Monsters vs. Aliens (2009), Pokémon Detective Pikachu (2019) and Shark Tale (2004)."
George Miller,03-03-1945,76,director,"https://m.media-amazon.com/images/M/MV5BMTQ5NTYwMjcyMF5BMl5BanBnXkFtZTYwMDQ0MjQz._V1_UY317_CR11,0,214,317_AL_.jpg","George Miller is an Australian film director, screenwriter, producer, and former medical doctor. He is best known for his Mad Max franchise, with Mad Max 2: The Road Warrior (1981) and Mad Max: Fury Road (2015) being hailed as amongst the greatest action films of all time. "
Louis Leterrier,17-06-1973,48,director,"https://m.media-amazon.com/images/M/MV5BMjExMDU1MjIxN15BMl5BanBnXkFtZTgwODgxNDAxMTE@._V1_UY317_CR0,0,214,317_AL_.jpg","Louis Leterrier was born on June 17, 1973 in Paris, France. He is a director and producer, known for The Incredible Hulk (2008), Unleashed (2005) and The Transporter (2002)."
Ruben Fleischer,31-10-1974,47,director,"https://m.media-amazon.com/images/M/MV5BMTc0NDU5MDc1NF5BMl5BanBnXkFtZTcwMDY0MTM5OA@@._V1_UX214_CR0,0,214,317_AL_.jpg","Ruben Fleischer was born on October 31, 1974 in Washington, District of Columbia, USA as Ruben Samuel Fleischer. He is a producer and director, known for Jekyll. He has been married to Holly Shakoor Fleischer since November 10, 2012."
Seth Gordon,15-07-1976,45,director,"https://m.media-amazon.com/images/M/MV5BMjAzOTkyNTkyN15BMl5BanBnXkFtZTYwNzIzMDA3._V1_UY317_CR16,0,214,317_AL_.jpg","Seth Gordon is a producer and director, known for Pixels (2015), The King of Kong: A Fistful of Quarters (2007) and Cry Wolf (2005). "
Chad Stahelski,20-09-1968,53,director,"https://m.media-amazon.com/images/M/MV5BNjgwNzc0NTc2Nl5BMl5BanBnXkFtZTgwMjM0NzEzMDI@._V1_UX214_CR0,0,214,317_AL_.jpg","He came from a kick-boxing background; he entered the film field as a stunt performer at the age of 24. Before that, he worked as an instructor at the Inosanto Martial Arts Academy in California, teaching Jeet Kune Do/Jun Fan. After doing numerous roles in low budget martial art movies like Mission of Justice (1992) and Bloodsport III (1996)."
Lana Wachowski,21-06-1965,56,director,"https://m.media-amazon.com/images/M/MV5BMjEzMTc2MDQ5OV5BMl5BanBnXkFtZTcwNjkzNDY0OA@@._V1_UX214_CR0,0,214,317_AL_.jpg","Lana Wachowski and her sister Lilly Wachowski, also known as the Wachowskis, are the duo behind such ground-breaking movies as The Matrix (1999) and Cloud Atlas (2012). Born to mother Lynne, a nurse, and father Ron, a businessman of Polish descent, Wachowski grew up in Chicago and formed a tight creative relationship with her sister Lilly. "
Lilly Wachowski,29-12-1967,54,director,"https://m.media-amazon.com/images/M/MV5BMTU1Mjc1MjkzNV5BMl5BanBnXkFtZTgwOTc1NDQ1ODE@._V1_UX214_CR0,0,214,317_AL_.jpg","Director, writer, and producer Lilly Wachowski was born in 1967 in Chicago as Andrew Wachowski, the son of Lynne, a nurse and painter, and Ron, a businessman. Lilly was educated at Kellogg Elementary School in Chicago, before moving on to Whitney M. Young High School. "
Anthony Russo,03-02-1970,51,director,"https://m.media-amazon.com/images/M/MV5BMTc2NjM5MTM0Ml5BMl5BanBnXkFtZTgwMTY3ODczNjM@._V1_UX214_CR0,0,214,317_AL_.jpg","Anthony Russo was born on February 3, 1970 in Cleveland, Ohio, USA as Anthony J. Russo. He is a producer and director, known for Avengers: Endgame (2019), Captain America: The Winter Soldier (2014) and Avengers: Infinity War (2018). "
Tarsem Singh,26-05-1961,60,director,"https://m.media-amazon.com/images/M/MV5BMTY3MjcyNjgyNl5BMl5BanBnXkFtZTcwMDU4NTIwNw@@._V1_UY317_CR9,0,214,317_AL_.jpg","Indian director Tarsem Singh is the son of an aircraft engineer. He was educated at Bishop Cotton Boy's School in Shimla and relocated to the USA to study business at Harvard and, significantly, film studies at the Art Center College of Design in California."
Marc Webb,31-08-1974,47,director,"https://m.media-amazon.com/images/M/MV5BMTUxMzA2NDU4MF5BMl5BanBnXkFtZTcwNzQ3NDc1Nw@@._V1_UY317_CR130,0,214,317_AL_.jpg","Marc Webb was born on August 31, 1974. He is a producer and director, known for 500 Days of Summer (2009), Gifted (2017) and Crazy Ex-Girlfriend (2015). He is married to Jane Herman. They have one child."
Richard Marquand,22-09-1937,84,director,"https://m.media-amazon.com/images/M/MV5BMjgwY2ZkYjEtNzgxZi00ZDIyLWJhZWItZjg1NGQ4OWE5ZTZhXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX214_CR0,0,214,317_AL_.jpg","Richard Marquand was born on September 22, 1937 in Llanishen, Cardiff, Glamorgan, Wales as Richard Alfred Marquand. He was a director and producer, known for Star Wars: Episode VI - Return of the Jedi (1983), Jagged Edge (1985) and Nowhere to Run (1993). He was married to Carol Bell and Josephine Marquand."
Jon. M. Chu,02-11-1979,42,director,"https://m.media-amazon.com/images/M/MV5BNDM0NjgyNjkwOV5BMl5BanBnXkFtZTgwNzYzOTMzMDE@._V1_UX214_CR0,0,214,317_AL_.jpg","Jon is an alumni of the USC School of Cinema-Television. There, he won the Princess Grace Award, the Dore Schary Award presented by the Anti-Defamation league, the Jack Nicholson directing award, and recognized as an honoree for the IFP/West program Project: Involve."
Jake Kasdan,28-10-1974,47,director,"https://m.media-amazon.com/images/M/MV5BNDk1NjAwOTg1MV5BMl5BanBnXkFtZTcwODIwMjA3NA@@._V1_UY317_CR7,0,214,317_AL_.jpg","Jake Kasdan was born on October 28, 1974 in Detroit, Michigan, USA as Jacob Kasdan. He is a producer and director, known for Walk Hard: The Dewey Cox Story (2007), Jumanji: The Next Level (2019) and Zero Effect (1998). "
Joe Berlinger,30-10-1961,60,director,"https://m.media-amazon.com/images/M/MV5BMjY2MzVhMWYtMzlhNy00MjMyLWI2ZDItM2U0OWY3MmM3ZGMzXkEyXkFqcGdeQXVyMTg2MDEyMzM@._V1_UY317_CR17,0,214,317_AL_.jpg","Academy Award and eight-time Emmy nominated and Peabody and Emmy-winning filmmaker Joe Berlinger has been a leading voice in nonfiction film and television for two decades. Berlinger's films include the landmark documentaries BROTHER'S KEEPER and the PARADISE LOST Trilogy."
Bill Condon,22-10-1955,66,director,"https://m.media-amazon.com/images/M/MV5BMTgwMzY1OTQwNF5BMl5BanBnXkFtZTYwNTM2Nzg1._V1_UX214_CR0,0,214,317_AL_.jpg,"Bill Condon was born on October 22, 1955 in New York City, New York, USA as William Patrick Condon. He is a director and writer, known for Gods and Monsters (1998), Dreamgirls (2006) and Kinsey (2004)."
